stop_id;stop_name;stop_lat;stop_lon;stop_code;location_type;parent_station;wheelchair_boarding;stop_direction
F02511;Jászai Mari tér;47.513890;19.049372;;;;1;112
F02512;Szent István park;47.518335;19.051456;;;;1;-158
F02513;Szent István park;47.517740;19.052625;;;;1;26
F02514;Victor Hugo utca;47.517793;19.054762;;;;1;-154
F02515;Hegedűs Gyula utca;47.517164;19.054815;;;;1;116
F02516;Victor Hugo utca;47.518468;19.056767;;;;1;18
F02517;Victor Hugo utca;47.518227;19.055824;;;;1;-72
F02519;Gogol utca;47.520132;19.057590;;;;1;20
F02521;Ipoly utca;47.520564;19.054072;;;;1;-159
F02522;Ipoly utca;47.519853;19.053886;;;;1;20
F02523;Radnóti Miklós utca;47.515644;19.053195;;;;1;-153
F02524;Radnóti Miklós utca;47.514538;19.054124;;;;1;27
F02525;Népfürdő utca / Árpád híd;47.536348;19.059466;;;;1;-70
F02526;Népfürdő utca / Árpád híd;47.535889;19.059638;;;;2;108
F02527;Népfürdő utca / Árpád híd;47.536294;19.058868;;;;1;-73
F02528;Népfürdő utca / Árpád híd;47.536087;19.059532;;;;1;108
F02532;Kámfor utca;47.552433;19.084485;;;;1;43
F02533;Szekszárdi utca;47.552281;19.083170;;;;1;-118
F02534;Gyöngyösi utca M;47.549306;19.073723;;;;1;-2
F02535;Gyöngyösi utca M;47.549342;19.074214;;;;1;114
F02536;Gyöngyösi utca M;47.548964;19.073125;;;;1;-165
F02537;Gyöngyösi utca M;47.548695;19.073483;;;;1;103
F02538;Gyöngyösi utca;47.547613;19.080524;;;;1;-162
F02539;Gyöngyösi utca;47.548445;19.081336;;;;1;18
F02540;Cziffra György park;47.548729;19.077788;;;;1;-75
F02541;Cziffra György park;47.548324;19.079302;;;;1;108
F02542;Gyöngyösi utca;47.547062;19.089251;;;;1;-160
F02543;Gyöngyösi utca;47.546207;19.090100;;;;1;-72
F02544;Gyöngyösi utca;47.546217;19.089038;;;;2;20
F02545;Gyöngyösi utca;47.545902;19.088745;;;;2;-160
F02546;Gyöngyösi utca;47.546630;19.089383;;;;1;20
F02547;Reitter Ferenc utca;47.545459;19.095294;;;;2;-45
F02548;Reitter Ferenc utca;47.545499;19.095070;;;;2;135
F02549;Futár utca;47.538230;19.089988;;;;1;22
F02550;Futár utca;47.537978;19.089589;;;;1;-158
F02551;Fiastyúk utca;47.540240;19.084758;;;;2;-66
F02552;Fiastyúk utca;47.540123;19.084877;;;;2;110
F02553;Fiastyúk utca;47.540159;19.085595;;;;2;-160
F02554;Fiastyúk utca;47.540537;19.085874;;;;2;20
F02555;Fiastyúk utca;47.540438;19.085621;;;;2;-159
F02556;Fiastyúk utca;47.540303;19.085927;;;;2;22
F02557;Násznagy utca;47.542877;19.082116;;;;2;-42
F02558;Násznagy utca;47.543335;19.082024;;;;2;-160
F02559;József Attila tér;47.547445;19.083780;;;;2;105
F02560;József Attila tér;47.547059;19.084019;;;;2;20
F02561;Fiastyúk utca;47.543621;19.078675;;;;1;-165
F02562;Fiastyúk utca;47.544978;19.079712;;;;1;17
F02563;Fiastyúk utca;47.545889;19.072008;;;;1;-166
F02564;Fiastyúk utca;47.546095;19.072459;;;;1;8
F02565;Dagály fürdő;47.539882;19.062375;;;;1;24
F02566;Cserhalom utca;47.541932;19.066613;;;;1;89
F02567;Népfürdő utca / Árpád híd;47.536878;19.060542;;;;1;-161
F02568;Népfürdő utca / Árpád híd;47.536887;19.060834;;;;1;16
F02569;Sporttelep;47.533641;19.059107;;;;1;-163
F02570;Sporttelep;47.533605;19.059359;;;;1;16
F02571;Karikás Frigyes utca;47.537112;19.066054;;;;1;-75
F02572;Lomb utca;47.535240;19.069958;;;;1;17
